dataset,time,Calculated,totalCalls,Percent Pruned,dtwCallsPerEpoch,timePerEpoch,n,slength,adjusted Mutual information,adjusted Rand index,Homogeneity,Completeness,Fowlkes Mallows,Rand index
DodgerLoopWeekend,0.13137006759643555,2844,3160,9.999999999999998,"[316, 315, 256, 302, 230, 312, 276, 298, 299, 240]","[0.01594400405883789, 0.011430978775024414, 0.011060953140258789, 0.011456966400146484, 0.011158943176269531, 0.015523910522460938, 0.012826204299926758, 0.016178131103515625, 0.012713193893432617, 0.011735916137695312]",158,288,0.8141458846250167,0.8981068982911534,0.8224784098554414,0.8079066097785542,0.9571827971637512,0.9503345964685963
ECG5000,2.189610004425049,145405,250000,41.837999999999994,"[25000, 16056, 15885, 15142, 13669, 15661, 11572, 12273, 10142, 10005]","[0.24553990364074707, 0.2081449031829834, 0.2198629379272461, 0.20376968383789062, 0.22861170768737793, 0.22007417678833008, 0.20814990997314453, 0.22002267837524414, 0.2117171287536621, 0.2202291488647461]",5000,140,0.5438799531328935,0.511360473052442,0.668455144325106,0.45940673824058137,0.7062143648548124,0.7622578915783157
ECGFiveDays,0.3267951011657715,13555,17680,23.3314479638009,"[1768, 1425, 1296, 1247, 1459, 1458, 1414, 1228, 1136, 1124]","[0.03402304649353027, 0.03101801872253418, 0.03107309341430664, 0.0451810359954834, 0.03271293640136719, 0.028708934783935547, 0.031215906143188477, 0.031219005584716797, 0.03002476692199707, 0.029964923858642578]",884,136,0.0,0.0,0.0,1.0,0.7067062675428678,0.49943374858437145
EOGHorizontalSignal,6.010164022445679,23157,86880,73.34599447513813,"[8688, 2019, 1764, 1598, 1706, 1457, 1677, 1478, 1426, 1344]","[1.1568050384521484, 0.6251890659332275, 0.5475530624389648, 0.537752628326416, 0.5369668006896973, 0.5141918659210205, 0.5387649536132812, 0.503791093826294, 0.49434900283813477, 0.5008280277252197]",724,1250,0.3738632458940329,0.19792572208660283,0.3844586550699486,0.40967075920706464,0.27403441078484664,0.8635672420775926
EOGVerticalSignal,6.311410903930664,25669,86880,70.45465009208102,"[8688, 2244, 2180, 2059, 2112, 2060, 1728, 1716, 1510, 1372]","[1.2120261192321777, 0.6261959075927734, 0.6235456466674805, 0.5751938819885254, 0.5642087459564209, 0.561478853225708, 0.5340108871459961, 0.5277559757232666, 0.5286679267883301, 0.50506591796875]",724,1250,0.23064027904199502,0.11354846079365677,0.25031114865742266,0.2699539990552749,0.20012259218909328,0.8439207415388612
Earthquakes,0.4841501712799072,9216,9220,0.04338394793925726,"[922, 922, 920, 920, 922, 922, 922, 922, 922, 922]","[0.05627107620239258, 0.044779062271118164, 0.04653787612915039, 0.045974016189575195, 0.05096292495727539, 0.049356698989868164, 0.04513216018676758, 0.049726009368896484, 0.04509997367858887, 0.0487060546875]",461,512,-0.0005424586978438635,-0.023108783746664786,0.001838057983685508,0.003934465687289092,0.7673388386298403,0.6269169103084032
ElectricDevices,10.280941247940063,1059486,1164590,9.024978747885527,"[116459, 110753, 106718, 107781, 107512, 110423, 110313, 99214, 98154, 92159]","[1.0596437454223633, 1.016996145248413, 1.0319581031799316, 1.0288941860198975, 1.0098669528961182, 1.034820795059204, 1.0292408466339111, 1.0307040214538574, 0.9977741241455078, 1.0335659980773926]",16637,96,0.2001510204429705,0.2017278488659581,0.20014890212617828,0.2011129725284884,0.3471090326949765,0.7621911725159797
EthanolLevel,8.526005029678345,21558,40160,46.319721115537845,"[4016, 1890, 2007, 1923, 1958, 1921, 1827, 2008, 2003, 2005]","[1.1733388900756836, 0.7873971462249756, 0.8273611068725586, 0.7996129989624023, 0.8097479343414307, 0.8555028438568115, 0.8030509948730469, 0.8231282234191895, 0.8096041679382324, 0.8260860443115234]",1004,1751,0.002229093967872287,0.002167439013245122,0.0027309026076368327,0.005655656092728092,0.36262462696675485,0.48952544756169736
FaceAll,2.6131949424743652,292994,315000,6.986031746031751,"[31500, 30044, 29681, 29498, 29109, 29620, 28658, 29232, 28523, 27129]","[0.2924199104309082, 0.2710001468658447, 0.2548799514770508, 0.24058318138122559, 0.2536439895629883, 0.288362979888916, 0.2792971134185791, 0.25147318840026855, 0.23381876945495605, 0.24356293678283691]",2250,131,0.482703016134226,0.28022831938276105,0.4595552599173819,0.5278802111126442,0.3748783762357077,0.8471783014673188
FaceFour,0.1758439540863037,4205,4480,6.13839285714286,"[448, 432, 420, 432, 425, 421, 401, 396, 418, 412]","[0.02216815948486328, 0.02233099937438965, 0.016597270965576172, 0.017067909240722656, 0.015839815139770508, 0.01566481590270996, 0.015583038330078125, 0.015748023986816406, 0.01602792739868164, 0.01658177375793457]",112,350,0.33418728189321184,0.1905775886830634,0.28636085274231454,0.49245995770550116,0.509440360033375,0.5701415701415702
